生效日期,证券代码,证券名称,证券英文名称,交易所,证监会行业分类代码,证监会行业分类名称,证监会行业分类英文名称,证监会行业分类代码(全),证监会行业分类名称(全),证监会行业分类英文名称(全)
2021/2/19,000001,平安银行,"Ping An Bank Co., Ltd.",Shenzhen,J,金融业,Finance,66,货币金融服务,currency finance service
2021/2/19,000002,万科A,China Vanke Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000004,国华网安,"Shenzhen GuoHua Network Security Technology Co., Ltd.",Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,65,软件和信息技术服务业,software and information technology service
2021/2/19,000005,世纪星源,Shenzhen Fountain Corporation,Shenzhen,N,水利、环境和公共设施管理业,water conservancy、environment and Public facilities management,77,生态保护和环境治理业,Ecological protection and environmentmanagement
2021/2/19,000006,深振业A,Shenzhen Zhenye (Group) Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000007,全新好,"Shenzhen Quanxinhao Co.,Ltd",Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,37,铁路、船舶、航空航天和其它运输设备制造业,Railway、Ship、Aircraft and spacecraft and Other traffic equipment manufacturing
2021/2/19,000009,中国宝安,"China Baoan Group Co.,Ltd.",Shenzhen,S,综合,Comprehensive,90,综合,Comprehensive
2021/2/19,000010,美丽生态,"SHENZHEN ECOBEAUTY CO., LTD.",Shenzhen,E,建筑业,Construction,48,土木工程建筑业,Civil engineering works construction
2021/2/19,000011,深物业A,Shenzhen Properties & Resources Development (Group) Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000012,南  玻A,CSG Holding Co Ltd,Shenzhen,C,制造业,Manufacturing,30,非金属矿物制品业,Non-metal mineral products
2021/2/19,000014,沙河股份,Shahe Industrial Co Ltd,Shenzhen,K,房地产业,Real estate,70,房地产业,Real estate
2021/2/19,000016,深康佳A,Konka Group Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000017,*ST中华A,Shenzhen China Bicycles Co (Holdings) Ltd,Shenzhen,C,制造业,Manufacturing,37,铁路、船舶、航空航天和其它运输设备制造业,Railway、Ship、Aircraft and spacecraft and Other traffic equipment manufacturing
2021/2/19,000019,深粮控股,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,000020,深华发A,"Shenzhen Zhongheng Huafa Co.,Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,000021,深科技,"Shenzhen Kaifa Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
